Session;Period;Subject;myTreatment;myGroup;myGroup2;myGroupType;dec-01;dec-02
160616_1231;9;17;9;3;4;2;5;4
160616_1231;9;18;9;5;6;2;6;1
160616_1231;9;19;2;1;2;2;5;5
160616_1231;9;20;2;4;4;1;6;0
160616_1231;9;21;9;6;6;1;6;0
160616_1231;9;22;9;4;4;1;5;0
160616_1231;9;23;2;2;2;1;5;0
160616_1231;9;24;2;4;5;2;5;5
160616_1231;9;25;9;5;5;1;6;0
160616_1231;9;26;9;7;7;1;6;0
160616_1231;10;1;9;2;2;1;2;0
160616_1231;10;2;9;4;5;2;6;6
160616_1231;10;3;2;1;1;1;6;0
160616_1231;10;4;2;2;3;2;3;3
160616_1231;10;5;9;1;1;1;5;0
160616_1231;10;6;9;3;3;1;5;0
160616_1231;10;7;2;3;4;2;6;6
160616_1231;10;8;2;6;1;2;6;6
160616_1231;10;9;9;7;1;2;5;6
160616_1231;10;10;9;1;2;2;2;6
160616_1231;10;11;2;3;3;1;3;0
160616_1231;10;12;2;5;6;2;4;4
160616_1231;10;13;9;2;3;2;5;5
160616_1231;10;14;9;6;7;2;3;6
160616_1231;10;15;2;5;5;1;5;0
160616_1231;10;16;2;6;6;1;4;0
160616_1231;10;17;9;3;4;2;6;3
160616_1231;10;18;9;5;6;2;5;2
160616_1231;10;19;2;1;2;2;1;1
160616_1231;10;20;2;4;4;1;6;0
160616_1231;10;21;9;6;6;1;5;0
160616_1231;10;22;9;4;4;1;6;0
160616_1231;10;23;2;2;2;1;1;0
160616_1231;10;24;2;4;5;2;5;5
160616_1231;10;25;9;5;5;1;6;0
160616_1231;10;26;9;7;7;1;3;0
160616_1231;11;1;9;2;2;1;5;0
160616_1231;11;2;9;4;5;2;6;6
160616_1231;11;3;2;1;1;1;5;0
160616_1231;11;4;2;2;3;2;6;6
160616_1231;11;5;9;1;1;1;6;0
160616_1231;11;6;9;3;3;1;6;0
160616_1231;11;7;2;3;4;2;6;5
160616_1231;11;8;2;6;1;2;5;3
160616_1231;11;9;9;7;1;2;6;2
160616_1231;11;10;9;1;2;2;5;4
160616_1231;11;11;2;3;3;1;6;0
160616_1231;11;12;2;5;6;2;4;2
160616_1231;11;13;9;2;3;2;6;6
160616_1231;11;14;9;6;7;2;5;5
160616_1231;11;15;2;5;5;1;3;0
160616_1231;11;16;2;6;6;1;4;0
160616_1231;11;17;9;3;4;2;5;2
160616_1231;11;18;9;5;6;2;6;1
160616_1231;11;19;2;1;2;2;4;4
160616_1231;11;20;2;4;4;1;6;0
160616_1231;11;21;9;6;6;1;6;0
160616_1231;11;22;9;4;4;1;5;0
160616_1231;11;23;2;2;2;1;4;0
160616_1231;11;24;2;4;5;2;3;3
160616_1231;11;25;9;5;5;1;6;0
160616_1231;11;26;9;7;7;1;5;0
160616_1231;12;1;9;2;2;1;6;0
160616_1231;12;2;9;4;5;2;6;6
160616_1231;12;3;2;1;1;1;3;0
160616_1231;12;4;2;2;3;2;4;4
160616_1231;12;5;9;1;1;1;2;0
160616_1231;12;6;9;3;3;1;6;0
160616_1231;12;7;2;3;4;2;5;4
160616_1231;12;8;2;6;1;2;3;4
160616_1231;12;9;9;7;1;2;2;3
160616_1231;12;10;9;1;2;2;6;3
160616_1231;12;11;2;3;3;1;4;0
160616_1231;12;12;2;5;6;2;5;2
160616_1231;12;13;9;2;3;2;6;6
160616_1231;12;14;9;6;7;2;6;6
160616_1231;12;15;2;5;5;1;6;0
160616_1231;12;16;2;6;6;1;5;0
160616_1231;12;17;9;3;4;2;1;3
