",""DyadID"",""Period"",""double"",""Treatment_name"""
"1633,19,14,0,""aLow"""
"1631,19,15,0,""aLow"""
"1629,19,16,1,""aLow"""
"1632,19,17,0,""aLow"""
"1638,19,18,0,""aLow"""
"1621,19,19,0,""aLow"""
"1627,19,20,0,""aLow"""
"105,20,1,1,""aLow"""
"102,20,2,0,""aLow"""
"98,20,3,0,""aLow"""
"100,20,4,0,""aLow"""
"96,20,5,0,""aLow"""
"92,20,6,0,""aLow"""
"97,20,7,1,""aLow"""
"88,20,8,0,""aLow"""
"101,20,9,0,""aLow"""
"91,20,10,0,""aLow"""
"87,20,11,0,""aLow"""
"95,20,12,0,""aLow"""
"90,20,13,0,""aLow"""
"99,20,14,0,""aLow"""
"94,20,15,0,""aLow"""
"103,20,16,0,""aLow"""
"89,20,17,0,""aLow"""
"104,20,18,0,""aLow"""
"85,20,19,0,""aLow"""
"86,20,20,0,""aLow"""
"1082,21,1,1,""aLow"""
"1080,21,2,1,""aLow"""
"1088,21,3,0,""aLow"""
"1089,21,4,0,""aLow"""
"1076,21,5,0,""aLow"""
"1085,21,6,1,""aLow"""
"1073,21,7,1,""aLow"""
"1072,21,8,0,""aLow"""
"1081,21,9,1,""aLow"""
"1075,21,10,1,""aLow"""
"1074,21,11,0,""aLow"""
"1079,21,12,0,""aLow"""
"1090,21,13,1,""aLow"""
"1086,21,14,0,""aLow"""
"1092,21,15,1,""aLow"""
"1087,21,16,1,""aLow"""
"1084,21,17,0,""aLow"""
"1091,21,18,1,""aLow"""
"1078,21,19,0,""aLow"""
"1083,21,20,0,""aLow"""
"150,22,1,1,""high"""
"159,22,2,1,""high"""
"155,22,3,1,""high"""
"163,22,4,1,""high"""
"166,22,5,1,""high"""
"152,22,6,1,""high"""
"161,22,7,1,""high"""
"156,22,8,1,""high"""
"165,22,9,1,""high"""
"160,22,10,1,""high"""
"148,22,11,1,""high"""
"151,22,12,1,""high"""
"168,22,13,1,""high"""
"167,22,14,1,""high"""
"164,22,15,1,""high"""
"162,22,16,1,""high"""
"153,22,17,1,""high"""
"154,22,18,1,""high"""
"157,22,19,1,""high"""
"158,22,20,1,""high"""
"590,23,1,1,""high"""
"604,23,2,0,""high"""
"591,23,3,1,""high"""
"592,23,4,1,""high"""
"605,23,5,0,""high"""
"593,23,6,1,""high"""
"594,23,7,0,""high"""
"606,23,8,1,""high"""
"595,23,9,1,""high"""
"596,23,10,0,""high"""
"607,23,11,0,""high"""
"597,23,12,1,""high"""
"598,23,13,1,""high"""
"608,23,14,1,""high"""
"599,23,15,0,""high"""
"600,23,16,0,""high"""
"609,23,17,1,""high"""
"601,23,18,1,""high"""
"602,23,19,1,""high"""
"603,23,20,1,""high"""
"841,24,1,1,""high"""
"851,24,2,0,""high"""
"859,24,3,0,""high"""
"860,24,4,0,""high"""
"853,24,5,1,""high"""
"858,24,6,0,""high"""
"847,24,7,0,""high"""
"852,24,8,1,""high"""
