Session;Period;Subject;myTreatment;myGroup;myGroup2;myGroupType;dec-01;dec-02
160609_1227;3;22;2;2;2;1;3;0
160609_1227;4;1;2;1;1;1;5;0
160609_1227;4;2;2;3;3;1;5;0
160609_1227;4;3;9;2;2;1;1;0
160609_1227;4;4;9;1;2;2;1;1
160609_1227;4;5;2;6;6;1;1;0
160609_1227;4;6;2;4;4;1;3;0
160609_1227;4;7;9;4;4;1;5;0
160609_1227;4;8;9;1;1;1;6;0
160609_1227;4;9;2;4;5;2;6;4
160609_1227;4;10;2;5;6;2;1;6
160609_1227;4;11;9;2;3;2;5;5
160609_1227;4;12;9;5;5;1;5;0
160609_1227;4;13;2;3;4;2;3;4
160609_1227;4;14;2;1;2;2;3;3
160609_1227;4;15;9;3;3;1;5;0
160609_1227;4;16;9;3;4;2;5;3
160609_1227;4;17;2;5;5;1;6;0
160609_1227;4;18;2;6;1;2;5;5
160609_1227;4;19;9;5;1;2;6;6
160609_1227;4;20;9;4;5;2;5;5
160609_1227;4;21;2;2;3;2;5;6
160609_1227;4;22;2;2;2;1;3;0
160609_1227;5;1;2;1;1;1;5;0
160609_1227;5;2;2;3;3;1;5;0
160609_1227;5;3;9;2;2;1;6;0
160609_1227;5;4;9;1;2;2;6;6
160609_1227;5;5;2;6;6;1;3;0
160609_1227;5;6;2;4;4;1;3;0
160609_1227;5;7;9;4;4;1;5;0
160609_1227;5;8;9;1;1;1;6;0
160609_1227;5;9;2;4;5;2;3;6
160609_1227;5;10;2;5;6;2;3;4
160609_1227;5;11;9;2;3;2;5;5
160609_1227;5;12;9;5;5;1;4;0
160609_1227;5;13;2;3;4;2;3;3
160609_1227;5;14;2;1;2;2;5;2
160609_1227;5;15;9;3;3;1;5;0
160609_1227;5;16;9;3;4;2;5;2
160609_1227;5;17;2;5;5;1;3;0
160609_1227;5;18;2;6;1;2;5;5
160609_1227;5;19;9;5;1;2;6;6
160609_1227;5;20;9;4;5;2;4;4
160609_1227;5;21;2;2;3;2;5;5
160609_1227;5;22;2;2;2;1;5;0
160609_1227;6;1;2;1;1;1;6;0
160609_1227;6;2;2;3;3;1;2;0
160609_1227;6;3;9;2;2;1;6;0
160609_1227;6;4;9;1;2;2;6;6
160609_1227;6;5;2;6;6;1;5;0
160609_1227;6;6;2;4;4;1;4;0
160609_1227;6;7;9;4;4;1;6;0
160609_1227;6;8;9;1;1;1;6;0
160609_1227;6;9;2;4;5;2;3;4
160609_1227;6;10;2;5;6;2;5;6
160609_1227;6;11;9;2;3;2;6;6
160609_1227;6;12;9;5;5;1;2;0
160609_1227;6;13;2;3;4;2;4;5
160609_1227;6;14;2;1;2;2;6;1
160609_1227;6;15;9;3;3;1;6;0
160609_1227;6;16;9;3;4;2;6;4
160609_1227;6;17;2;5;5;1;3;0
160609_1227;6;18;2;6;1;2;6;6
160609_1227;6;19;9;5;1;2;6;6
160609_1227;6;20;9;4;5;2;2;1
160609_1227;6;21;2;2;3;2;2;6
160609_1227;6;22;2;2;2;1;6;0
160609_1227;7;1;2;1;1;1;4;0
160609_1227;7;2;2;3;3;1;6;0
160609_1227;7;3;9;2;2;1;5;0
160609_1227;7;4;9;1;2;2;5;5
160609_1227;7;5;2;6;6;1;6;0
160609_1227;7;6;2;4;4;1;6;0
160609_1227;7;7;9;4;4;1;2;0
160609_1227;7;8;9;1;1;1;6;0
160609_1227;7;9;2;4;5;2;2;4
160609_1227;7;10;2;5;6;2;6;6
160609_1227;7;11;9;2;3;2;4;3
160609_1227;7;12;9;5;5;1;3;0
160609_1227;7;13;2;3;4;2;6;5
160609_1227;7;14;2;1;2;2;5;5
160609_1227;7;15;9;3;3;1;4;0
160609_1227;7;16;9;3;4;2;2;4
160609_1227;7;17;2;5;5;1;2;0
160609_1227;7;18;2;6;1;2;4;4
160609_1227;7;19;9;5;1;2;6;6
160609_1227;7;20;9;4;5;2;3;3
160609_1227;7;21;2;2;3;2;6;6
160609_1227;7;22;2;2;2;1;5;0
160609_1227;8;1;2;1;1;1;4;0
160609_1227;8;2;2;3;3;1;6;0
160609_1227;8;3;9;2;2;1;6;0
160609_1227;8;4;9;1;2;2;6;6
160609_1227;8;5;2;6;6;1;5;0
160609_1227;8;6;2;4;4;1;6;0
160609_1227;8;7;9;4;4;1;5;0
160609_1227;8;8;9;1;1;1;6;0
160609_1227;8;9;2;4;5;2;5;6
160609_1227;8;10;2;5;6;2;5;2
160609_1227;8;11;9;2;3;2;6;6
160609_1227;8;12;9;5;5;1;3;0
160609_1227;8;13;2;3;4;2;6;6
160609_1227;8;14;2;1;2;2;2;6
160609_1227;8;15;9;3;3;1;6;0
160609_1227;8;16;9;3;4;2;5;5
160609_1227;8;17;2;5;5;1;5;0
160609_1227;8;18;2;6;1;2;4;4
160609_1227;8;19;9;5;1;2;6;6
160609_1227;8;20;9;4;5;2;3;6
160609_1227;8;21;2;2;3;2;6;6
160609_1227;8;22;2;2;2;1;2;0
160609_1227;9;1;2;1;1;1;6;0
160609_1227;9;2;2;3;3;1;5;0
160609_1227;9;3;9;2;2;1;4;0
160609_1227;9;4;9;1;2;2;4;4
160609_1227;9;5;2;6;6;1;2;0
160609_1227;9;6;2;4;4;1;4;0
160609_1227;9;7;9;4;4;1;5;0
160609_1227;9;8;9;1;1;1;6;0
160609_1227;9;9;2;4;5;2;5;5
160609_1227;9;10;2;5;6;2;2;1
160609_1227;9;11;9;2;3;2;4;1
160609_1227;9;12;9;5;5;1;5;0
160609_1227;9;13;2;3;4;2;4;3
160609_1227;9;14;2;1;2;2;2;2
160609_1227;9;15;9;3;3;1;4;0
160609_1227;9;16;9;3;4;2;5;4
160609_1227;9;17;2;5;5;1;5;0
160609_1227;9;18;2;6;1;2;6;6
160609_1227;9;19;9;5;1;2;6;6
160609_1227;9;20;9;4;5;2;5;5
160609_1227;9;21;2;2;3;2;5;5
160609_1227;9;22;2;2;2;1;2;0
160609_1227;10;1;2;1;1;1;2;0
160609_1227;10;2;2;3;3;1;6;0
160609_1227;10;3;9;2;2;1;6;0
160609_1227;10;4;9;1;2;2;6;6
160609_1227;10;5;2;6;6;1;4;0
160609_1227;10;6;2;4;4;1;3;0
160609_1227;10;7;9;4;4;1;6;0
160609_1227;10;8;9;1;1;1;6;0
160609_1227;10;9;2;4;5;2;3;3
160609_1227;10;10;2;5;6;2;4;3
160609_1227;10;11;9;2;3;2;6;6
160609_1227;10;12;9;5;5;1;4;0
160609_1227;10;13;2;3;4;2;3;4
160609_1227;10;14;2;1;2;2;6;3
160609_1227;10;15;9;3;3;1;6;0
160609_1227;10;16;9;3;4;2;6;1
160609_1227;10;17;2;5;5;1;3;0
160609_1227;10;18;2;6;1;2;2;2
160609_1227;10;19;9;5;1;2;6;6
160609_1227;10;20;9;4;5;2;4;2
160609_1227;10;21;2;2;3;2;6;1
160609_1227;10;22;2;2;2;1;6;0
160609_1227;11;1;2;1;1;1;5;0
160609_1227;11;2;2;3;3;1;2;0
160609_1227;11;3;9;2;2;1;5;0
160609_1227;11;4;9;1;2;2;5;5
160609_1227;11;5;2;6;6;1;4;0
160609_1227;11;6;2;4;4;1;6;0
160609_1227;11;7;9;4;4;1;6;0
160609_1227;11;8;9;1;1;1;6;0
160609_1227;11;9;2;4;5;2;4;3
160609_1227;11;10;2;5;6;2;4;1
160609_1227;11;11;9;2;3;2;1;5
160609_1227;11;12;9;5;5;1;3;0
160609_1227;11;13;2;3;4;2;6;5
160609_1227;11;14;2;1;2;2;5;1
160609_1227;11;15;9;3;3;1;1;0
160609_1227;11;16;9;3;4;2;6;6
160609_1227;11;17;2;5;5;1;4;0
160609_1227;11;18;2;6;1;2;5;5
160609_1227;11;19;9;5;1;2;6;6
160609_1227;11;20;9;4;5;2;3;4
160609_1227;11;21;2;2;3;2;2;2
160609_1227;11;22;2;2;2;1;5;0
160609_1227;12;1;2;1;1;1;6;0
160609_1227;12;2;2;3;3;1;3;0
160609_1227;12;3;9;2;2;1;1;0
160609_1227;12;4;9;1;2;2;1;1
160609_1227;12;5;2;6;6;1;1;0
160609_1227;12;6;2;4;4;1;6;0
160609_1227;12;7;9;4;4;1;6;0
160609_1227;12;8;9;1;1;1;6;0
160609_1227;12;9;2;4;5;2;4;4
160609_1227;12;10;2;5;6;2;1;3
160609_1227;12;11;9;2;3;2;6;6
160609_1227;12;12;9;5;5;1;6;0
160609_1227;12;13;2;3;4;2;6;6
160609_1227;12;14;2;1;2;2;1;6
160609_1227;12;15;9;3;3;1;6;0
160609_1227;12;16;9;3;4;2;6;6
160609_1227;12;17;2;5;5;1;4;0
160609_1227;12;18;2;6;1;2;6;6
160609_1227;12;19;9;5;1;2;6;6
160609_1227;12;20;9;4;5;2;6;6
160609_1227;12;21;2;2;3;2;3;1
160609_1227;12;22;2;2;2;1;1;0
160609_1227;13;1;2;1;1;1;5;0
160609_1227;13;2;2;3;3;1;6;0
160609_1227;13;3;9;2;2;1;2;0
160609_1227;13;4;9;1;2;2;2;2
160609_1227;13;5;2;6;6;1;1;0
160609_1227;13;6;2;4;4;1;4;0
160609_1227;13;7;9;4;4;1;6;0
160609_1227;13;8;9;1;1;1;6;0
160609_1227;13;9;2;4;5;2;3;5
160609_1227;13;10;2;5;6;2;1;3
160609_1227;13;11;9;2;3;2;4;4
160609_1227;13;12;9;5;5;1;6;0
160609_1227;13;13;2;3;4;2;4;1
160609_1227;13;14;2;1;2;2;1;1
160609_1227;13;15;9;3;3;1;4;0
160609_1227;13;16;9;3;4;2;6;2
160609_1227;13;17;2;5;5;1;3;0
160609_1227;13;18;2;6;1;2;5;5
160609_1227;13;19;9;5;1;2;6;6
160609_1227;13;20;9;4;5;2;6;5
160609_1227;13;21;2;2;3;2;6;6
160609_1227;13;22;2;2;2;1;1;0
160609_1227;14;1;2;1;1;1;5;0
160609_1227;14;2;2;3;3;1;6;0
160609_1227;14;3;9;2;2;1;6;0
160609_1227;14;4;9;1;2;2;6;6
160609_1227;14;5;2;6;6;1;6;0
160609_1227;14;6;2;4;4;1;2;0
160609_1227;14;7;9;4;4;1;1;0
160609_1227;14;8;9;1;1;1;6;0
160609_1227;14;9;2;4;5;2;6;5
160609_1227;14;10;2;5;6;2;6;2
160609_1227;14;11;9;2;3;2;5;5
160609_1227;14;12;9;5;5;1;3;0
160609_1227;14;13;2;3;4;2;2;2
160609_1227;14;14;2;1;2;2;6;2
160609_1227;14;15;9;3;3;1;5;0
160609_1227;14;16;9;3;4;2;1;3
160609_1227;14;17;2;5;5;1;6;0
160609_1227;14;18;2;6;1;2;5;5
160609_1227;14;19;9;5;1;2;6;6
160609_1227;14;20;9;4;5;2;3;6
160609_1227;14;21;2;2;3;2;6;6
160609_1227;14;22;2;2;2;1;6;0
160609_1227;15;1;2;1;1;1;5;0
160609_1227;15;2;2;3;3;1;6;0
160609_1227;15;3;9;2;2;1;1;0
160609_1227;15;4;9;1;2;2;1;1
160609_1227;15;5;2;6;6;1;3;0
160609_1227;15;6;2;4;4;1;2;0
160609_1227;15;7;9;4;4;1;6;0
160609_1227;15;8;9;1;1;1;6;0
160609_1227;15;9;2;4;5;2;5;4
160609_1227;15;10;2;5;6;2;3;4
160609_1227;15;11;9;2;3;2;6;6
160609_1227;15;12;9;5;5;1;5;0
160609_1227;15;13;2;3;4;2;2;4
160609_1227;15;14;2;1;2;2;5;1
160609_1227;15;15;9;3;3;1;6;0
160609_1227;15;16;9;3;4;2;6;6
160609_1227;15;17;2;5;5;1;5;0
160609_1227;15;18;2;6;1;2;5;5
160609_1227;15;19;9;5;1;2;6;6
160609_1227;15;20;9;4;5;2;5;5
160609_1227;15;21;2;2;3;2;6;6
160609_1227;15;22;2;2;2;1;5;0
160609_1227;16;1;2;1;1;1;1;0
160609_1227;16;2;2;3;3;1;6;0
160609_1227;16;3;9;2;2;1;1;0
160609_1227;16;4;9;1;2;2;1;1
160609_1227;16;5;2;6;6;1;6;0
160609_1227;16;6;2;4;4;1;6;0
160609_1227;16;7;9;4;4;1;6;0
160609_1227;16;8;9;1;1;1;6;0
160609_1227;16;9;2;4;5;2;3;4
160609_1227;16;10;2;5;6;2;6;5
160609_1227;16;11;9;2;3;2;5;5
160609_1227;16;12;9;5;5;1;1;0
160609_1227;16;13;2;3;4;2;6;2
160609_1227;16;14;2;1;2;2;6;5
160609_1227;16;15;9;3;3;1;5;0
160609_1227;16;16;9;3;4;2;6;4
160609_1227;16;17;2;5;5;1;3;0
160609_1227;16;18;2;6;1;2;1;6
160609_1227;16;19;9;5;1;2;6;6
160609_1227;16;20;9;4;5;2;1;4
160609_1227;16;21;2;2;3;2;6;6
160609_1227;16;22;2;2;2;1;6;0
160609_1227;17;1;2;1;1;1;4;0
160609_1227;17;2;2;3;3;1;6;0
160609_1227;17;3;9;2;2;1;6;0
160609_1227;17;4;9;1;2;2;6;6
160609_1227;17;5;2;6;6;1;5;0
160609_1227;17;6;2;4;4;1;5;0
160609_1227;17;7;9;4;4;1;6;0
160609_1227;17;8;9;1;1;1;6;0
160609_1227;17;9;2;4;5;2;3;5
160609_1227;17;10;2;5;6;2;5;3
160609_1227;17;11;9;2;3;2;3;1
160609_1227;17;12;9;5;5;1;6;0
160609_1227;17;13;2;3;4;2;5;2
160609_1227;17;14;2;1;2;2;3;1
160609_1227;17;15;9;3;3;1;3;0
160609_1227;17;16;9;3;4;2;6;5
160609_1227;17;17;2;5;5;1;3;0
160609_1227;17;18;2;6;1;2;4;4
160609_1227;17;19;9;5;1;2;6;6
160609_1227;17;20;9;4;5;2;6;6
160609_1227;17;21;2;2;3;2;6;6
160609_1227;17;22;2;2;2;1;3;0
160609_1227;18;1;2;1;1;1;3;0
160609_1227;18;2;2;3;3;1;6;0
160609_1227;18;3;9;2;2;1;1;0
160609_1227;18;4;9;1;2;2;1;1
160609_1227;18;5;2;6;6;1;4;0
160609_1227;18;6;2;4;4;1;2;0
160609_1227;18;7;9;4;4;1;2;0
160609_1227;18;8;9;1;1;1;6;0
160609_1227;18;9;2;4;5;2;4;5
160609_1227;18;10;2;5;6;2;4;1
160609_1227;18;11;9;2;3;2;5;5
160609_1227;18;12;9;5;5;1;3;0
160609_1227;18;13;2;3;4;2;2;1
160609_1227;18;14;2;1;2;2;5;4
160609_1227;18;15;9;3;3;1;5;0
160609_1227;18;16;9;3;4;2;2;4
160609_1227;18;17;2;5;5;1;4;0
160609_1227;18;18;2;6;1;2;3;3
160609_1227;18;19;9;5;1;2;6;6
160609_1227;18;20;9;4;5;2;3;3
160609_1227;18;21;2;2;3;2;6;4
160609_1227;18;22;2;2;2;1;5;0
160609_1227;19;1;2;1;1;1;6;0
160609_1227;19;2;2;3;3;1;6;0
160609_1227;19;3;9;2;2;1;4;0
160609_1227;19;4;9;1;2;2;4;4
160609_1227;19;5;2;6;6;1;3;0
160609_1227;19;6;2;4;4;1;6;0
160609_1227;19;7;9;4;4;1;5;0
160609_1227;19;8;9;1;1;1;6;0
160609_1227;19;9;2;4;5;2;6;1
160609_1227;19;10;2;5;6;2;3;6
160609_1227;19;11;9;2;3;2;2;6
160609_1227;19;12;9;5;5;1;5;0
160609_1227;19;13;2;3;4;2;6;1
160609_1227;19;14;2;1;2;2;5;5
160609_1227;19;15;9;3;3;1;2;0
160609_1227;19;16;9;3;4;2;5;4
160609_1227;19;17;2;5;5;1;6;0
160609_1227;19;18;2;6;1;2;6;6
160609_1227;19;19;9;5;1;2;6;6
160609_1227;19;20;9;4;5;2;5;5
160609_1227;19;21;2;2;3;2;6;6
160609_1227;19;22;2;2;2;1;5;0
160609_1227;20;1;2;1;1;1;5;0
160609_1227;20;2;2;3;3;1;6;0
160609_1227;20;3;9;2;2;1;1;0
160609_1227;20;4;9;1;2;2;1;1
160609_1227;20;5;2;6;6;1;3;0
160609_1227;20;6;2;4;4;1;4;0
160609_1227;20;7;9;4;4;1;6;0
160609_1227;20;8;9;1;1;1;6;0
160609_1227;20;9;2;4;5;2;4;2
160609_1227;20;10;2;5;6;2;3;2
160609_1227;20;11;9;2;3;2;6;6
160609_1227;20;12;9;5;5;1;4;0
160609_1227;20;13;2;3;4;2;4;6
160609_1227;20;14;2;1;2;2;6;5
160609_1227;20;15;9;3;3;1;6;0
160609_1227;20;16;9;3;4;2;6;4
160609_1227;20;17;2;5;5;1;4;0
160609_1227;20;18;2;6;1;2;5;5
160609_1227;20;19;9;5;1;2;6;6
160609_1227;20;20;9;4;5;2;4;1
160609_1227;20;21;2;2;3;2;6;6
160609_1227;20;22;2;2;2;1;6;0
