"","Time","ID","age","sex","Foundation","Condition","Game","Partner","Index","ValueA","ValueB","double_original","Fingerratio","Q1","Q2","Double"
"131","pilot_191009_1333",3486,20,"1","1","CH","C","H",17,6,6,"1",NA,NA,NA,TRUE
"132","pilot_191015_1143",9560,20,"3","1","CH","C","H",18,2,4,"0",NA,NA,NA,FALSE
"133","pilot_191009_1148",8274,19,"1","3","CH","C","H",18,3,3,"1",NA,NA,NA,TRUE
"134","pilot_191009_1333",3486,20,"1","1","CH","C","H",18,6,4,"0",NA,NA,NA,FALSE
"135","pilot_191015_1143",9560,20,"3","1","CH","C","H",19,5,5,"1",NA,NA,NA,TRUE
"136","pilot_191009_1148",8274,19,"1","3","CH","C","H",19,2,6,"0",NA,NA,NA,FALSE
"137","pilot_191009_1333",3486,20,"1","1","CH","C","H",19,3,2,"0",NA,NA,NA,FALSE
"138","pilot_191015_1143",9560,20,"3","1","CH","C","H",20,2,5,"0",NA,NA,NA,FALSE
"139","pilot_191009_1148",8274,19,"1","3","CH","C","H",20,4,3,"0",NA,NA,NA,FALSE
"140","pilot_191009_1333",3486,20,"1","1","CH","C","H",20,3,6,"0",NA,NA,NA,FALSE
"141","pilot_191011_0951",5151,19,"1",NA,"SH","S","H",1,1,1,"1",NA,NA,NA,TRUE
"142","pilot_191011_1025",3724,22,"1",NA,"SH","S","H",1,4,3,"0",NA,NA,NA,FALSE
"143","pilot_191011_0951",5151,19,"1",NA,"SH","S","H",2,4,5,"0",NA,NA,NA,FALSE
"144","pilot_191011_1025",3724,22,"1",NA,"SH","S","H",2,1,3,"0",NA,NA,NA,FALSE
"145","pilot_191011_0951",5151,19,"1",NA,"SH","S","H",3,4,6,"0",NA,NA,NA,FALSE
"146","pilot_191011_1025",3724,22,"1",NA,"SH","S","H",3,3,5,"0",NA,NA,NA,FALSE
"147","pilot_191011_0951",5151,19,"1",NA,"SH","S","H",4,4,2,"0",NA,NA,NA,FALSE
"148","pilot_191011_1025",3724,22,"1",NA,"SH","S","H",4,5,1,"0",NA,NA,NA,FALSE
"149","pilot_191011_0951",5151,19,"1",NA,"SH","S","H",5,1,1,"1",NA,NA,NA,TRUE
"150","pilot_191011_1025",3724,22,"1",NA,"SH","S","H",5,2,5,"0",NA,NA,NA,FALSE
